"id","start_date","expiry_date"
"account_intrastat.commodity_code_2018_68151010","","2022-01-01"
"account_intrastat.commodity_code_2018_68151090","","2022-01-01"
"account_intrastat.commodity_code_2018_70191910","","2022-01-01"
"account_intrastat.commodity_code_2018_70191990","","2022-01-01"
"account_intrastat.commodity_code_2018_70193100","","2022-01-01"
"account_intrastat.commodity_code_2018_70193200","","2022-01-01"
"account_intrastat.commodity_code_2018_70193900","","2022-01-01"
"account_intrastat.commodity_code_2018_70194000","","2022-01-01"
"account_intrastat.commodity_code_2018_70195100","","2022-01-01"
"account_intrastat.commodity_code_2018_70195200","","2022-01-01"
"account_intrastat.commodity_code_2018_70195900","","2022-01-01"
"account_intrastat.commodity_code_2018_7041000","","2022-01-01"
"account_intrastat.commodity_code_2018_7095910","","2022-01-01"
"account_intrastat.commodity_code_2018_7095930","","2022-01-01"
"account_intrastat.commodity_code_2018_7095950","","2022-01-01"
"account_intrastat.commodity_code_2018_7095990","","2022-01-01"
"account_intrastat.commodity_code_2018_73043910","","2022-01-01"
"account_intrastat.commodity_code_2018_73043952","","2022-01-01"
"account_intrastat.commodity_code_2018_73043958","","2022-01-01"
"account_intrastat.commodity_code_2018_73043992","","2022-01-01"
"account_intrastat.commodity_code_2018_73043993","","2022-01-01"
"account_intrastat.commodity_code_2018_73043998","","2022-01-01"
"account_intrastat.commodity_code_2018_73044910","","2022-01-01"
"account_intrastat.commodity_code_2018_73044993","","2022-01-01"
"account_intrastat.commodity_code_2018_73044995","","2022-01-01"
"account_intrastat.commodity_code_2018_73044999","","2022-01-01"
"account_intrastat.commodity_code_2018_73045112","","2022-01-01"
"account_intrastat.commodity_code_2018_73045118","","2022-01-01"
"account_intrastat.commodity_code_2018_73045910","","2022-01-01"
"account_intrastat.commodity_code_2018_73045932","","2022-01-01"
"account_intrastat.commodity_code_2018_73045938","","2022-01-01"
"account_intrastat.commodity_code_2018_73045992","","2022-01-01"
"account_intrastat.commodity_code_2018_73045993","","2022-01-01"
"account_intrastat.commodity_code_2018_73045999","","2022-01-01"
"account_intrastat.commodity_code_2018_73061110","","2022-01-01"
"account_intrastat.commodity_code_2018_73061190","","2022-01-01"
"account_intrastat.commodity_code_2018_73061910","","2022-01-01"
"account_intrastat.commodity_code_2018_73061990","","2022-01-01"
"account_intrastat.commodity_code_2018_73063011","","2022-01-01"
"account_intrastat.commodity_code_2018_73063019","","2022-01-01"
"account_intrastat.commodity_code_2018_73065020","","2022-01-01"
"account_intrastat.commodity_code_2018_74191000","","2022-01-01"
"account_intrastat.commodity_code_2018_74199100","","2022-01-01"
"account_intrastat.commodity_code_2018_74199910","","2022-01-01"
"account_intrastat.commodity_code_2018_74199930","","2022-01-01"
"account_intrastat.commodity_code_2018_74199990","","2022-01-01"
"account_intrastat.commodity_code_2018_76061110","","2022-01-01"
"account_intrastat.commodity_code_2018_76061220","","2022-01-01"
"account_intrastat.commodity_code_2018_76072090","","2022-01-01"
"account_intrastat.commodity_code_2018_8029010","","2022-01-01"
"account_intrastat.commodity_code_2018_8029050","","2022-01-01"
"account_intrastat.commodity_code_2018_8029085","","2022-01-01"
"account_intrastat.commodity_code_2018_81039010","","2022-01-01"
"account_intrastat.commodity_code_2018_81039090","","2022-01-01"
"account_intrastat.commodity_code_2018_81060010","","2022-01-01"
"account_intrastat.commodity_code_2018_81060090","","2022-01-01"
"account_intrastat.commodity_code_2018_81072000","","2022-01-01"
"account_intrastat.commodity_code_2018_81073000","","2022-01-01"
"account_intrastat.commodity_code_2018_81079000","","2022-01-01"
"account_intrastat.commodity_code_2018_81092000","","2022-01-01"
"account_intrastat.commodity_code_2018_81093000","","2022-01-01"
"account_intrastat.commodity_code_2018_81099000","","2022-01-01"
"account_intrastat.commodity_code_2018_81129210","","2022-01-01"
"account_intrastat.commodity_code_2018_81129231","","2022-01-01"
"account_intrastat.commodity_code_2018_81129920","","2022-01-01"
"account_intrastat.commodity_code_2018_81129930","","2022-01-01"
"account_intrastat.commodity_code_2018_84193100","","2022-01-01"
"account_intrastat.commodity_code_2018_84193200","","2022-01-01"
"account_intrastat.commodity_code_2018_84621010","","2022-01-01"
"account_intrastat.commodity_code_2018_84621090","","2022-01-01"
"account_intrastat.commodity_code_2018_84622110","","2022-01-01"
"account_intrastat.commodity_code_2018_84622180","","2022-01-01"
"account_intrastat.commodity_code_2018_84622991","","2022-01-01"
"account_intrastat.commodity_code_2018_84622998","","2022-01-01"
"account_intrastat.commodity_code_2018_84623100","","2022-01-01"
"account_intrastat.commodity_code_2018_84623910","","2022-01-01"
"account_intrastat.commodity_code_2018_84623991","","2022-01-01"
"account_intrastat.commodity_code_2018_84623999","","2022-01-01"
"account_intrastat.commodity_code_2018_84624110","","2022-01-01"
"account_intrastat.commodity_code_2018_84624190","","2022-01-01"
"account_intrastat.commodity_code_2018_84624910","","2022-01-01"
"account_intrastat.commodity_code_2018_84624990","","2022-01-01"
"account_intrastat.commodity_code_2018_84629120","","2022-01-01"
"account_intrastat.commodity_code_2018_84629180","","2022-01-01"
"account_intrastat.commodity_code_2018_84629920","","2022-01-01"
"account_intrastat.commodity_code_2018_84629980","","2022-01-01"
"account_intrastat.commodity_code_2018_85074000","","2022-01-01"
"account_intrastat.commodity_code_2018_85141010","","2022-01-01"
"account_intrastat.commodity_code_2018_85141080","","2022-01-01"
"account_intrastat.commodity_code_2018_85143020","","2022-01-01"
"account_intrastat.commodity_code_2018_85143080","","2022-01-01"
"account_intrastat.commodity_code_2018_85171200","","2022-01-01"
"account_intrastat.commodity_code_2018_85177000","","2022-01-01"
"account_intrastat.commodity_code_2018_85195000","","2022-01-01"
"account_intrastat.commodity_code_2018_85258011","","2022-01-01"
"account_intrastat.commodity_code_2018_85258019","","2022-01-01"
"account_intrastat.commodity_code_2018_85258030","","2022-01-01"
"account_intrastat.commodity_code_2018_85258091","","2022-01-01"
"account_intrastat.commodity_code_2018_85258099","","2022-01-01"
"account_intrastat.commodity_code_2018_85299041","","2022-01-01"
"account_intrastat.commodity_code_2018_85299049","","2022-01-01"
"account_intrastat.commodity_code_2018_85395000","","2022-01-01"
"account_intrastat.commodity_code_2018_85414010","","2022-01-01"
"account_intrastat.commodity_code_2018_85414090","","2022-01-01"
"account_intrastat.commodity_code_2018_85415000","","2022-01-01"
"account_intrastat.commodity_code_2018_85437070","","2022-01-01"
"account_intrastat.commodity_code_2018_85481010","","2022-01-01"
"account_intrastat.commodity_code_2018_85481021","","2022-01-01"
"account_intrastat.commodity_code_2018_85481029","","2022-01-01"
"account_intrastat.commodity_code_2018_85481091","","2022-01-01"
"account_intrastat.commodity_code_2018_85481099","","2022-01-01"
"account_intrastat.commodity_code_2018_85489020","","2022-01-01"
"account_intrastat.commodity_code_2018_85489030","","2022-01-01"
"account_intrastat.commodity_code_2018_85489090","","2022-01-01"
"account_intrastat.commodity_code_2018_87012010","","2022-01-01"
"account_intrastat.commodity_code_2018_87012090","","2022-01-01"
"account_intrastat.commodity_code_2018_88031000","","2022-01-01"
"account_intrastat.commodity_code_2018_88032000","","2022-01-01"
"account_intrastat.commodity_code_2018_88033000","","2022-01-01"
"account_intrastat.commodity_code_2018_88039010","","2022-01-01"
"account_intrastat.commodity_code_2018_88039021","","2022-01-01"
"account_intrastat.commodity_code_2018_88039029","","2022-01-01"
"account_intrastat.commodity_code_2018_88039030","","2022-01-01"
"account_intrastat.commodity_code_2018_88039090","","2022-01-01"
"account_intrastat.commodity_code_2018_89031010","","2022-01-01"
"account_intrastat.commodity_code_2018_89031090","","2022-01-01"
"account_intrastat.commodity_code_2018_89039110","","2022-01-01"
"account_intrastat.commodity_code_2018_89039190","","2022-01-01"
"account_intrastat.commodity_code_2018_89039210","","2022-01-01"
"account_intrastat.commodity_code_2018_89039291","","2022-01-01"
"account_intrastat.commodity_code_2018_89039299","","2022-01-01"
"account_intrastat.commodity_code_2018_89039991","","2022-01-01"
"account_intrastat.commodity_code_2018_90065100","","2022-01-01"
"account_intrastat.commodity_code_2018_90065200","","2022-01-01"
"account_intrastat.commodity_code_2018_90138020","","2022-01-01"
"account_intrastat.commodity_code_2018_90138030","","2022-01-01"
"account_intrastat.commodity_code_2018_90138090","","2022-01-01"
"account_intrastat.commodity_code_2018_90139010","","2022-01-01"
"account_intrastat.commodity_code_2018_90278005","","2022-01-01"
"account_intrastat.commodity_code_2018_91141000","","2022-01-01"
"account_intrastat.commodity_code_2018_91149000","","2022-01-01"
"account_intrastat.commodity_code_2018_94013000","","2022-01-01"
"account_intrastat.commodity_code_2018_94014000","","2022-01-01"
"account_intrastat.commodity_code_2018_94019010","","2022-01-01"
"account_intrastat.commodity_code_2018_94019030","","2022-01-01"
"account_intrastat.commodity_code_2018_94019080","","2022-01-01"
"account_intrastat.commodity_code_2018_94039010","","2022-01-01"
"account_intrastat.commodity_code_2018_94039030","","2022-01-01"
"account_intrastat.commodity_code_2018_94039090","","2022-01-01"
"account_intrastat.commodity_code_2018_94051021","","2022-01-01"
"account_intrastat.commodity_code_2018_94051040","","2022-01-01"
"account_intrastat.commodity_code_2018_94051050","","2022-01-01"
"account_intrastat.commodity_code_2018_94051091","","2022-01-01"
"account_intrastat.commodity_code_2018_94051098","","2022-01-01"
"account_intrastat.commodity_code_2018_94052011","","2022-01-01"
"account_intrastat.commodity_code_2018_94052040","","2022-01-01"
"account_intrastat.commodity_code_2018_94052050","","2022-01-01"
"account_intrastat.commodity_code_2018_94052091","","2022-01-01"
"account_intrastat.commodity_code_2018_94052099","","2022-01-01"
"account_intrastat.commodity_code_2018_94053000","","2022-01-01"
"account_intrastat.commodity_code_2018_94054010","","2022-01-01"
"account_intrastat.commodity_code_2018_94054031","","2022-01-01"
"account_intrastat.commodity_code_2018_94054035","","2022-01-01"
"account_intrastat.commodity_code_2018_94054039","","2022-01-01"
"account_intrastat.commodity_code_2018_94054091","","2022-01-01"
"account_intrastat.commodity_code_2018_94054095","","2022-01-01"
"account_intrastat.commodity_code_2018_94054099","","2022-01-01"
"account_intrastat.commodity_code_2018_94056020","","2022-01-01"
"account_intrastat.commodity_code_2018_94056080","","2022-01-01"
"account_intrastat.commodity_code_2018_95089000","","2022-01-01"
"account_intrastat.commodity_code_2018_97011000","","2022-01-01"
"account_intrastat.commodity_code_2018_97019000","","2022-01-01"
"account_intrastat.commodity_code_2018_97020000","","2022-01-01"
"account_intrastat.commodity_code_2018_97030000","","2022-01-01"
"account_intrastat.commodity_code_2018_97050000","","2022-01-01"
"account_intrastat.commodity_code_2018_97060000","","2022-01-01"
"account_intrastat.commodity_code_2020_71042010","","2022-01-01"
"account_intrastat.commodity_code_2020_71042090","","2022-01-01"
"account_intrastat.commodity_code_2020_71049010","","2022-01-01"
"account_intrastat.commodity_code_2020_71049090","","2022-01-01"
"account_intrastat.commodity_code_2020_90278020","","2022-01-01"
"account_intrastat.commodity_code_2020_90278080","","2022-01-01"
"account_intrastat.commodity_code_2022_03072110","2022-01-01",""
"account_intrastat.commodity_code_2022_03072190","2022-01-01",""
"account_intrastat.commodity_code_2022_03072295","2022-01-01",""
"account_intrastat.commodity_code_2022_03072910","2022-01-01",""
"account_intrastat.commodity_code_2022_03072990","2022-01-01",""
"account_intrastat.commodity_code_2022_03091000","2022-01-01",""
"account_intrastat.commodity_code_2022_03099000","2022-01-01",""
"account_intrastat.commodity_code_2022_04032011","2022-01-01",""
"account_intrastat.commodity_code_2022_04032013","2022-01-01",""
"account_intrastat.commodity_code_2022_04032019","2022-01-01",""
"account_intrastat.commodity_code_2022_04032031","2022-01-01",""
"account_intrastat.commodity_code_2022_04032033","2022-01-01",""
"account_intrastat.commodity_code_2022_04032039","2022-01-01",""
"account_intrastat.commodity_code_2022_04032041","2022-01-01",""
"account_intrastat.commodity_code_2022_04032049","2022-01-01",""
"account_intrastat.commodity_code_2022_04032051","2022-01-01",""
"account_intrastat.commodity_code_2022_04032053","2022-01-01",""
"account_intrastat.commodity_code_2022_04032059","2022-01-01",""
"account_intrastat.commodity_code_2022_04032091","2022-01-01",""
"account_intrastat.commodity_code_2022_04032093","2022-01-01",""
"account_intrastat.commodity_code_2022_04032099","2022-01-01",""
"account_intrastat.commodity_code_2022_04101010","2022-01-01",""
"account_intrastat.commodity_code_2022_04101091","2022-01-01",""
"account_intrastat.commodity_code_2022_04101099","2022-01-01",""
"account_intrastat.commodity_code_2022_04109000","2022-01-01",""
"account_intrastat.commodity_code_2022_05080010","2022-01-01",""
"account_intrastat.commodity_code_2022_05080090","2022-01-01",""
"account_intrastat.commodity_code_2022_07041010","2022-01-01",""
"account_intrastat.commodity_code_2022_07041090","2022-01-01",""
"account_intrastat.commodity_code_2022_07095200","2022-01-01",""
"account_intrastat.commodity_code_2022_07095300","2022-01-01",""
"account_intrastat.commodity_code_2022_07095400","2022-01-01",""
"account_intrastat.commodity_code_2022_07095500","2022-01-01",""
"account_intrastat.commodity_code_2022_07095600","2022-01-01",""
"account_intrastat.commodity_code_2022_07095900","2022-01-01",""
"account_intrastat.commodity_code_2022_07123400","2022-01-01",""
"account_intrastat.commodity_code_2022_08029100","2022-01-01",""
"account_intrastat.commodity_code_2022_08029200","2022-01-01",""
"account_intrastat.commodity_code_2022_08029910","2022-01-01",""
"account_intrastat.commodity_code_2022_08029990","2022-01-01",""
"account_intrastat.commodity_code_2022_12116000","2022-01-01",""
"account_intrastat.commodity_code_2022_15092000","2022-01-01",""
"account_intrastat.commodity_code_2022_15093000","2022-01-01",""
"account_intrastat.commodity_code_2022_15094000","2022-01-01",""
"account_intrastat.commodity_code_2022_15101000","2022-01-01",""
"account_intrastat.commodity_code_2022_15109000","2022-01-01",""
"account_intrastat.commodity_code_2022_15156011","2022-01-01",""
"account_intrastat.commodity_code_2022_15156051","2022-01-01",""
"account_intrastat.commodity_code_2022_15156059","2022-01-01",""
"account_intrastat.commodity_code_2022_15156060","2022-01-01",""
"account_intrastat.commodity_code_2022_15156091","2022-01-01",""
"account_intrastat.commodity_code_2022_15156099","2022-01-01",""
"account_intrastat.commodity_code_2022_15163091","2022-01-01",""
"account_intrastat.commodity_code_2022_15163098","2022-01-01",""
"account_intrastat.commodity_code_2022_24041100","2022-01-01",""
"account_intrastat.commodity_code_2022_24041200","2022-01-01",""
"account_intrastat.commodity_code_2022_24041910","2022-01-01",""
"account_intrastat.commodity_code_2022_24041990","2022-01-01",""
"account_intrastat.commodity_code_2022_24049110","2022-01-01",""
"account_intrastat.commodity_code_2022_24049190","2022-01-01",""
"account_intrastat.commodity_code_2022_24049200","2022-01-01",""
"account_intrastat.commodity_code_2022_24049900","2022-01-01",""
"account_intrastat.commodity_code_2022_28047010","2022-01-01",""
"account_intrastat.commodity_code_2022_28047090","2022-01-01",""
"account_intrastat.commodity_code_2022_28444110","2022-01-01",""
"account_intrastat.commodity_code_2022_28444190","2022-01-01",""
"account_intrastat.commodity_code_2022_28444210","2022-01-01",""
"account_intrastat.commodity_code_2022_28444290","2022-01-01",""
"account_intrastat.commodity_code_2022_28444310","2022-01-01",""
"account_intrastat.commodity_code_2022_28444320","2022-01-01",""
"account_intrastat.commodity_code_2022_28444380","2022-01-01",""
"account_intrastat.commodity_code_2022_28444400","2022-01-01",""
"account_intrastat.commodity_code_2022_28452000","2022-01-01",""
"account_intrastat.commodity_code_2022_28453000","2022-01-01",""
"account_intrastat.commodity_code_2022_28454000","2022-01-01",""
"account_intrastat.commodity_code_2022_29034100","2022-01-01",""
"account_intrastat.commodity_code_2022_29034200","2022-01-01",""
"account_intrastat.commodity_code_2022_29034300","2022-01-01",""
"account_intrastat.commodity_code_2022_29034400","2022-01-01",""
"account_intrastat.commodity_code_2022_29034500","2022-01-01",""
"account_intrastat.commodity_code_2022_29034600","2022-01-01",""
"account_intrastat.commodity_code_2022_29034700","2022-01-01",""
"account_intrastat.commodity_code_2022_29034800","2022-01-01",""
"account_intrastat.commodity_code_2022_29034910","2022-01-01",""
"account_intrastat.commodity_code_2022_29034930","2022-01-01",""
"account_intrastat.commodity_code_2022_29034990","2022-01-01",""
"account_intrastat.commodity_code_2022_29035100","2022-01-01",""
"account_intrastat.commodity_code_2022_29035900","2022-01-01",""
"account_intrastat.commodity_code_2022_29036100","2022-01-01",""
